,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
24,gradient,1.176242563696775,1.1234657214459287,1.0,1000.0,0.7841370105743408,Momentum,0.0005,0.7,default_top60
25,gradient,1.1762412676836167,1.1234658763115322,1.0,1000.0,0.7918910980224609,Momentum,0.0005,0.8,default_top60
26,gradient,1.1762399707973894,1.1234660306034299,1.0,1000.0,0.8006711006164551,Momentum,0.0005,0.9,default_top60
27,gradient,1.176238686020586,1.1234661827879149,1.0,1000.0,0.7724969387054443,Momentum,0.0005,0.999,default_top60
2,gradient,1.180372493461703,1.1253853000976612,1.0,1000.0,0.15351176261901855,Decay,0.01,0.1,default_notext
22,gradient,1.1797627030253277,1.1267377993884105,1.0,1000.0,3.5374867916107178,Decay,0.0005,0.0001,default_top160
57,gradient,1.1786305952123253,1.1268663427922256,0.0,1000.0,0.15162897109985352,Decay,0.01,0.01,default_notext
68,gradient,1.1852873152448158,1.1282470258618729,0.0,1000.0,0.14413022994995117,Decay,0.001,0.0005,default_notext
22,gradient,1.1816095416591577,1.128945677871697,1.0,1000.0,0.7210178375244141,Decay,0.0005,0.0001,default_top60
2,gradient,1.18458547275162,1.131668754335487,1.0,1000.0,4.932524919509888,Decay,0.01,0.1,default_top160
2,gradient,1.186394496357353,1.1338342141586109,1.0,1000.0,0.8148949146270752,Decay,0.01,0.1,default_top60
71,gradient,1.194879431443857,1.1396259802725177,0.0,1000.0,0.1441512107849121,Momentum,0.001,0.9,default_notext
23,gradient,1.1966714972690993,1.1419096551066914,1.0,1000.0,0.14138293266296387,Decay,0.0005,0.0005,default_notext
85,gradient,1.192334449319952,1.1427178568333598,0.0,1000.0,0.12112998962402344,Decay,0.0001,0.0001,default_notext
78,gradient,1.204173248385425,1.147359900691464,0.0,1000.0,0.1499168872833252,Momentum,0.0005,0.7,default_notext
23,gradient,1.2003918072846957,1.147537460533277,1.0,1000.0,3.7577919960021973,Decay,0.0005,0.0005,default_top160
23,gradient,1.2020965804435177,1.1495903218926857,1.0,1000.0,0.7635350227355957,Decay,0.0005,0.0005,default_top60
79,gradient,1.2118282702058758,1.1547216954883952,0.0,1000.0,0.13859987258911133,Momentum,0.0005,0.8,default_notext
92,gradient,1.2086835790853865,1.1552025769968146,0.0,1.0,0.000453948974609375,Decay,1e-06,0.1,default_notext
72,gradient,1.2154476496934494,1.1597445763989467,0.0,1000.0,0.1468639373779297,Momentum,0.001,0.999,default_notext
82,gradient,1.2127448071105558,1.16062351517784,0.0,1000.0,0.1419970989227295,LearningRate,0.0001,,default_notext
88,gradient,1.2238470912160544,1.1648353138696959,0.0,1000.0,0.14252614974975586,Momentum,0.0001,0.8,default_notext
89,gradient,1.2255283621147988,1.1710150656127136,0.0,1000.0,0.1467299461364746,Momentum,0.0001,0.9,default_notext
73,gradient,1.2286988938522712,1.1816405746934002,0.0,1000.0,0.14693784713745117,LearningRate,0.0005,,default_notext
98,gradient,1.2484543216637636,1.1941959767187083,0.0,1.0,0.0003387928009033203,Momentum,1e-06,0.9,default_notext
67,gradient,1.2473231683002763,1.1960059752016043,0.0,1000.0,0.12653732299804688,Decay,0.001,0.0001,default_notext
62,gradient,1.2795417677461336,1.2001001566082177,0.0,1000.0,4.456221103668213,Momentum,0.01,0.9,default_top160
65,gradient,1.2706120141718813,1.2013389582233454,0.0,1.0,0.0003960132598876953,Decay,0.001,0.1,default_notext
91,gradient,1.2794692298389865,1.2035506629688397,0.0,1.0,0.00046896934509277344,LearningRate,1e-06,,default_notext
80,gradient,1.2509509438407194,1.207556570206741,0.0,1000.0,0.15223073959350586,Momentum,0.0005,0.9,default_notext
101,gradient,1.292350586979368,1.2305329025343918,0.0,1.0,0.0005068778991699219,Decay,1e-07,0.1,default_notext
12,gradient,1.2961303137655829,1.240790480155525,1.0,1000.0,3.814893960952759,Decay,0.001,0.01,default_top160
12,gradient,1.2974035349651156,1.2424286034861949,1.0,1000.0,0.7895021438598633,Decay,0.001,0.01,default_top60
87,gradient,1.2960040093683647,1.2487668572169768,0.0,1000.0,0.14790105819702148,Momentum,0.0001,0.7,default_notext
12,gradient,1.3088031070850714,1.255208410083079,1.0,1000.0,0.13119912147521973,Decay,0.001,0.01,default_notext
63,gradient,1.3062396714630897,1.2683525977473595,0.0,1000.0,4.232435941696167,Momentum,0.01,0.999,default_top160
55,gradient,1.3187813649288735,1.2876583295965196,0.0,1000.0,3.6603751182556152,LearningRate,0.01,,default_top160
95,gradient,1.3382337781365248,1.2880199336635763,0.0,1.0,0.00037407875061035156,Decay,1e-06,0.0005,default_notext
61,gradient,1.2838096386593034,1.2901628705192059,0.0,1000.0,4.084465265274048,Momentum,0.01,0.8,default_top160
77,gradient,1.362545904089239,1.295779211290731,0.0,1000.0,0.12445402145385742,Decay,0.0005,0.0005,default_notext
60,gradient,1.2791626001329715,1.297087466075688,0.0,1000.0,3.614617109298706,Momentum,0.01,0.7,default_top160
90,gradient,1.3456758827711002,1.3045004725848346,0.0,1000.0,0.15413308143615723,Momentum,0.0001,0.999,default_notext
103,gradient,1.3966195480050756,1.3187389246047838,0.0,1.0,0.00037598609924316406,Decay,1e-07,0.0001,default_notext
58,gradient,1.3619812631845534,1.3705012077564211,0.0,1000.0,3.8027758598327637,Decay,0.01,0.0001,default_top160
21,gradient,1.4660149728503546,1.4017612559620156,1.0,1000.0,3.431335926055908,Decay,0.0005,0.01,default_top160
21,gradient,1.4667345850224083,1.4029452844228198,1.0,1000.0,0.7109410762786865,Decay,0.0005,0.01,default_top60
56,gradient,1.4378859171793257,1.4038157515850058,0.0,1000.0,0.1570720672607422,Decay,0.01,0.1,default_notext
94,gradient,1.438647155899784,1.4046859068957545,0.0,1.0,0.0004227161407470703,Decay,1e-06,0.0001,default_notext
93,gradient,1.4707092938902862,1.4340848376612316,0.0,1.0,0.0003311634063720703,Decay,1e-06,0.01,default_notext
28,gradient,1.5106006031558676,1.4436362120323856,1.0,1000.0,3.5857598781585693,LearningRate,0.0001,,default_top160
33,gradient,1.5107036498078632,1.443737166958768,1.0,1000.0,4.260824918746948,Momentum,0.0001,0.7,default_top160
34,gradient,1.510718375548623,1.4437515940229886,1.0,1000.0,4.54102897644043,Momentum,0.0001,0.8,default_top160
35,gradient,1.5107331024882427,1.4437660223211584,1.0,1000.0,3.6648099422454834,Momentum,0.0001,0.9,default_top160
36,gradient,1.5107476833398086,1.4437803075521674,1.0,1000.0,3.4956929683685303,Momentum,0.0001,0.999,default_top160
28,gradient,1.511223655965972,1.4447544936651762,1.0,1000.0,0.749061107635498,LearningRate,0.0001,,default_top60
106,gradient,1.4747947599018345,1.4447906213324198,0.0,1.0,0.00039386749267578125,Momentum,1e-07,0.8,default_notext
33,gradient,1.5113259153201033,1.4448548776095318,1.0,1000.0,0.7877037525177002,Momentum,0.0001,0.7,default_top60
34,gradient,1.5113405285316706,1.444869223099224,1.0,1000.0,0.7632391452789307,Momentum,0.0001,0.8,default_top60
35,gradient,1.511355142927674,1.444883569821578,1.0,1000.0,0.7583141326904297,Momentum,0.0001,0.9,default_top60
36,gradient,1.511369612346885,1.444897774291306,1.0,1000.0,0.7589058876037598,Momentum,0.0001,0.999,default_top60
83,gradient,1.4767213286232335,1.4494669412656085,0.0,1.0,0.000614166259765625,Decay,0.0001,0.1,default_notext
86,gradient,1.5038000417291093,1.4505747408735328,0.0,1000.0,0.14831209182739258,Decay,0.0001,0.0005,default_notext
31,gradient,1.5222832130863753,1.4546109644772236,1.0,1000.0,3.6311821937561035,Decay,0.0001,0.0001,default_top160
31,gradient,1.5228894631892596,1.4557215388547051,1.0,1000.0,0.7383129596710205,Decay,0.0001,0.0001,default_top60
99,gradient,1.5405217957459014,1.4614682211161438,0.0,1.0,0.00037789344787597656,Momentum,1e-06,0.999,default_notext
66,gradient,1.520247398296488,1.4671443682041962,0.0,1000.0,0.14785313606262207,Decay,0.001,0.01,default_notext
97,gradient,1.508193583593401,1.472958620286753,0.0,1.0,0.0003540515899658203,Momentum,1e-06,0.8,default_notext
75,gradient,1.5238931090486887,1.480134052933399,0.0,1000.0,0.12941384315490723,Decay,0.0005,0.01,default_notext
21,gradient,1.533827188225773,1.4832838179028154,1.0,1000.0,0.12146997451782227,Decay,0.0005,0.01,default_notext
32,gradient,1.5606439370080334,1.4907168297915923,1.0,1000.0,4.223392963409424,Decay,0.0001,0.0005,default_top160
32,gradient,1.561230888878907,1.4918421720902453,1.0,1000.0,0.7345550060272217,Decay,0.0001,0.0005,default_top60
59,gradient,1.5361526812785213,1.5042784677792178,0.0,1000.0,3.5397520065307617,Decay,0.01,0.0005,default_top160
84,gradient,1.5259105405035887,1.5096756495976416,0.0,447.0,0.06357598304748535,Decay,0.0001,0.01,default_notext
28,gradient,1.5952650516736122,1.5457286602593892,1.0,1000.0,0.1400308609008789,LearningRate,0.0001,,default_notext
33,gradient,1.5954075880668495,1.5458735938229269,1.0,1000.0,0.14163708686828613,Momentum,0.0001,0.7,default_notext
34,gradient,1.595427955048733,1.5458943033430026,1.0,1000.0,0.13057899475097656,Momentum,0.0001,0.8,default_notext
35,gradient,1.5954483231907535,1.5459150140445406,1.0,1000.0,0.14491677284240723,Momentum,0.0001,0.9,default_notext
36,gradient,1.5954684887941915,1.5459355188029094,1.0,1000.0,0.15950584411621094,Momentum,0.0001,0.999,default_notext
71,gradient,1.6933996631976658,1.55149090562125,0.0,1000.0,0.7817659378051758,Momentum,0.001,0.9,default_top60
31,gradient,1.6113870848068077,1.5621247544772532,1.0,1000.0,0.1383202075958252,Decay,0.0001,0.0001,default_notext
107,gradient,1.6157139309860278,1.5700650505846256,0.0,1.0,0.0003330707550048828,Momentum,1e-07,0.9,default_notext
11,gradient,1.6855903159227568,1.6109356400962136,1.0,1000.0,3.541422128677368,Decay,0.001,0.1,default_top160
11,gradient,1.6866319098497333,1.612671211120964,1.0,1000.0,0.8003120422363281,Decay,0.001,0.1,default_top60
32,gradient,1.6641021704769987,1.615761965011654,1.0,1000.0,0.14202380180358887,Decay,0.0001,0.0005,default_notext
104,gradient,1.6721666279073089,1.6515868920810215,0.0,1.0,0.00033092498779296875,Decay,1e-07,0.0005,default_notext
102,gradient,1.7132040675509737,1.670622526179679,0.0,1.0,0.00035190582275390625,Decay,1e-07,0.01,default_notext
105,gradient,1.7183688856671266,1.6802512533025082,0.0,1.0,0.0003368854522705078,Momentum,1e-07,0.7,default_notext
100,gradient,1.7246392764466796,1.6871191009143276,0.0,1.0,0.00035309791564941406,LearningRate,1e-07,,default_notext
96,gradient,1.7453923634778596,1.7052191330897788,0.0,1.0,0.00037407875061035156,Momentum,1e-06,0.7,default_notext
30,gradient,1.8122012600843955,1.7408036861594305,1.0,1000.0,3.536875009536743,Decay,0.0001,0.01,default_top160
