,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
4,gradient,1.091966367435564,1.0307386365428883,True,1000,0.8576681613922119,Decay,0.01,0.0005,default_feeling
0,closed-form,1.060598405150038,1.0308730352748043,,,0.000476837158203125,,,,only_cube
5,gradient,1.0943814870119482,1.0311238259622173,1.0,1000.0,0.12694287300109863,Decay,0.01,0.0005,default_notext
60,gradient,1.121189994289966,1.031301403714055,False,1000,1.5648550987243652,Momentum,0.01,0.8,default_feeling
58,gradient,1.0951972537352117,1.031677637307028,0.0,1000.0,0.16078472137451172,Decay,0.01,0.0001,default_notext
61,gradient,1.0953534565410326,1.0318327364345132,0.0,1000.0,0.13937616348266602,Momentum,0.01,0.8,default_notext
69,gradient,1.0657486386810187,1.0321407156198201,0.0,1000.0,0.21576309204101562,Momentum,0.001,0.7,only_children_square
69,gradient,1.0657486386810187,1.0321407156198201,0.0,1000.0,0.21576309204101562,Momentum,0.001,0.7,only_children_square
70,gradient,1.0625746186407232,1.0323824955953544,0.0,1000.0,0.21057391166687012,Momentum,0.001,0.8,only_children_square
70,gradient,1.0625746186407232,1.0323824955953544,0.0,1000.0,0.21057391166687012,Momentum,0.001,0.8,only_children_square
0,closed-form,1.093953449296535,1.0326569560414962,,,0.001901865005493164,,,,len_top50
71,gradient,1.0616016861086168,1.0340341954815297,0.0,1000.0,0.2284691333770752,Momentum,0.001,0.9,only_children_square
71,gradient,1.0616016861086168,1.0340341954815297,0.0,1000.0,0.2284691333770752,Momentum,0.001,0.9,only_children_square
84,gradient,1.080279251870731,1.0347274281677705,0.0,404.0,0.07955718040466309,Decay,0.0001,0.01,only_children_square
84,gradient,1.080279251870731,1.0347274281677705,0.0,404.0,0.07955718040466309,Decay,0.0001,0.01,only_children_square
0,closed-form,1.055919367962343,1.0347374499986521,,,0.00048828125,,,,only_fourth
87,gradient,1.0729196759390343,1.0349147088764352,0.0,1000.0,0.2067110538482666,Momentum,0.0001,0.7,only_children_square
87,gradient,1.0729196759390343,1.0349147088764352,0.0,1000.0,0.2067110538482666,Momentum,0.0001,0.7,only_children_square
63,gradient,1.1003128614728224,1.0359864599412738,0.0,1000.0,0.14167022705078125,Momentum,0.01,0.999,default_notext
63,gradient,1.105000654960002,1.0390524540467605,0.0,1000.0,0.8357758522033691,Momentum,0.01,0.999,default_top60
73,gradient,1.0834371661197664,1.0390792483865638,0.0,1000.0,0.2058267593383789,LearningRate,0.0005,,only_children_square
73,gradient,1.0834371661197664,1.0390792483865638,0.0,1000.0,0.2058267593383789,LearningRate,0.0005,,only_children_square
0,closed-form,1.1044781338371397,1.0398723870241628,,,0.000865936279296875,,,,children_sentiment_top10
62,gradient,1.105663368073829,1.0404777748884861,0.0,1000.0,0.14838814735412598,Momentum,0.01,0.9,default_notext
1,gradient,1.100611553452846,1.043027430304691,1.0,1000.0,0.6341240406036377,LearningRate,0.01,,stopwords_children_50
6,gradient,1.100612491487177,1.0430276714863527,1.0,1000.0,0.6759800910949707,Momentum,0.01,0.7,stopwords_children_50
7,gradient,1.1006126255115118,1.0430277059570858,1.0,1000.0,0.7507152557373047,Momentum,0.01,0.8,stopwords_children_50
8,gradient,1.1006127595406876,1.0430277404318327,1.0,1000.0,0.6316690444946289,Momentum,0.01,0.9,stopwords_children_50
9,gradient,1.1006128922343346,1.043027774565774,1.0,1000.0,0.6944630146026611,Momentum,0.01,0.999,stopwords_children_50
